word1,word2,num_paths,word_count_wiwj,degree_wiwj,degree_centrality_wiwj,closeness_centrality_wiwj,betweenness_wiwj,betweenness_centrality_wiwj,eigenvector_centrality_wiwj,clustering_coefficient_wiwj,preferential_attachment,shortest_path_length,word_count_i,degree_i,degree_centrality_i,closeness_centrality_i,betweenness_i,betweenness_centrality_i,eigenvector_centrality_i,clustering_coefficient_i,word_count_j,degree_j,degree_centrality_j,closeness_centrality_j,betweenness_j,betweenness_centrality_j,eigenvector_centrality_j,clustering_coefficient_j
中性笔,植物,1210786,6724,3021,0.080268891,0.271414766,35673326.06,0.101785407,0.109369981,0.00134589,3021,1,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915
暴雨,植物,957335,6724,2622,0.06966734,0.270001148,22140928.3,0.063173907,0.127966912,0.003001465,2622,1,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915
中性笔,暴雨,1270497,6724,2438,0.064778404,0.256571771,22919907.13,0.065396539,0.096705384,0.00187908,2438,1,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343
植物,足球,1193750,6724,2850,0.075725369,0.263148327,28303078.31,0.080756146,0.112836964,0.001854637,2850,1,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
中性笔,足球,1189154,6724,2650,0.070411308,0.250059797,29298858.55,0.08359737,0.085271589,0.001161103,2650,2,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
暴雨,足球,1307090,6724,2300,0.061111702,0.248757403,18184565.28,0.05188536,0.099770905,0.002589372,2300,1,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
植物,草,646286,902,399,0.010601552,0.209033147,224517.1568,0.000640607,0.037898739,0.022079007,399,1,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
中性笔,草,960380,902,371,0.009857583,0.19863621,232416.2887,0.000663145,0.028640311,0.013822655,371,2,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
暴雨,草,883038,902,322,0.008555638,0.197601647,144250.9839,0.000411586,0.03351022,0.030825857,322,2,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
草,足球,730446,902,350,0.009299607,0.192586376,184398.1806,0.000526137,0.029548197,0.019047619,350,1,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
